Year,Company ,Category,Market Cap(in B USD), Revenue , Gross Profit ,Net Income,Earning Per Share, EBITDA ,Share Holder Equity,Total Cash,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin2,Free Cash Flow per Share,Return on Tangible Equity2,Number of Employees,Inflation Rate(in US)2
2010,PCG,Manufacturing,16.73," $13,841.00 "," $8,652.00 "," $1,099.00 ", $2.82 ," $4,213.00 "," $11,534.00 ", $(236.00),77.13%,1.1613,0.96%,2.42%,0.5%,7.94%,0.8604,0.96%,19424,1.64%
2009,PCG,Manufacturing,18.76," $13,399.00 "," $8,397.00 "," $1,220.00 ", $3.20 ," $4,051.00 "," $10,585.00 ", $308.00 ,83.03%,1.2063,1.17%,2.87%,0.6%,9.11%,-2.3808,1.17%,19425,-0.36%
2018,SHLDQ,Finance,0.04," $16,702.00 "," $3,527.00 ", $(383.00), $(3.57), $(52.00)," $(3,723.00)", $50.00 ,77.56%,-1.1099,1.03%,-5.27%,2.6%,-2.29%,3.0663,1.03%,89900,2.44%
2017,SHLDQ,Finance,0.37," $22,138.00 "," $4,686.00 "," $(2,221.00)", $(20.78)," $(1,610.00)"," $(3,824.00)", $48.00 ,106.73%,-1.0887,5.81%,-23.72%,88.5%,-10.03%,-13.9382,5.81%,140000,2.13%
2016,SHLDQ,Finance,1.11," $25,146.00 "," $5,810.00 "," $(1,129.00)", $(10.59), $(570.00)," $(1,956.00)", $(12.00),111.16%,-1.5215,5.77%,-9.95%,-74.2%,-4.49%,14.9014,5.77%,178000,1.26%
2015,SHLDQ,Finance,2.19," $31,198.00 "," $7,149.00 "," $(1,682.00)", $(15.82), $(889.00), $(945.00), $(775.00),104.79%,-3.9958,19.15%,-13.73%,-8.5%,-5.39%,-7.424,19.15%,196000,0.12%
2014,SHLDQ,Finance,3.51," $36,188.00 "," $8,755.00 "," $(1,365.00)", $(12.87), $(195.00)," $2,183.00 ", $457.00 ,109.46%,1.9464,-5.11%,-6.11%,-2.2%,-3.77%,-2.7683,-5.11%,226000,1.62%
2013,SHLDQ,Finance,4.9," $39,854.00 "," $10,514.00 ", $(930.00), $(8.78), $(8.00)," $3,172.00 ", $(139.00),110.11%,0.9836,-3.32%,-5.45%,-2.1%,-2.33%,4.5387,-3.32%,246000,1.46%
2012,SHLDQ,Finance,4.47," $41,567.00 "," $10,601.00 "," $(3,140.00)", $(29.40), $(648.00)," $4,341.00 ", $(612.00),111.20%,0.8047,-7.19%,-14.59%,-4.9%,-7.55%,-3.5464,-7.19%,264000,2.07%
2011,SHLDQ,Finance,3.39," $42,664.00 "," $11,664.00 ", $133.00 , $1.19 ," $1,306.00 "," $8,614.00 ", $(378.00),133.75%,0.3707,0.16%,0.57%,0.1%,0.31%,-12.4078,0.16%,280000,3.16%
2010,SHLDQ,Finance,8.22," $43,360.00 "," $11,986.00 ", $235.00 , $1.99 ," $1,561.00 "," $9,435.00 ", $384.00 ,130.18%,0.2655,0.30%,1.13%,0.3%,0.54%,5.4337,0.30%,290000,1.64%
2009,SHLDQ,Finance,8.98," $46,770.00 "," $12,652.00 ", $53.00 , $0.42 ," $1,283.00 "," $9,699.00 ", $(288.00),134.12%,0.301,0.10%,0.39%,0.1%,0.11%,4.5748,0.10%,291000,-0.36%
2022,MCD,FOOD,186.39," $23,182.60 "," $13,207.20 "," $6,177.40 ", $8.33 ," $11,241.60 "," $(6,003.40)"," $(1,871.60)",142.66%,-5.9805,-10.29%,12.25%,2.1%,26.65%,-2.1323,-10.29%,150000,8.00%
2021,MCD,FOOD,193.02," $23,222.90 "," $12,580.20 "," $7,545.20 ", $10.04 ," $12,224.10 "," $(4,601.00)"," $1,380.20 ",177.82%,-7.7424,-16.40%,14.01%,2.4%,32.49%,3.3857,-16.40%,200000,4.70%
